Nome,Idade (anos),Peso (kg),Sexo,Altura (m),Fator
Fulano da Silva,30,70,M,1.64,alto
Data,Alimento,Quantidade (g)
06/04/2015,IOGURTE,40
07/04/2015,MACARRAO AO ALHO E OLEO,200
06/04/2015,MAMAO PAPAYA,50
06/04/2015,BISCOITO AMANTEIGADO,60
07/04/2015,CREME DE AMENDOIM,20
07/04/2015,NHOQUE,300
06/04/2015,SUCO DE LARANJA E CENOURA,50
07/04/2015,MILK-SHAKE DE CHOCOLATE,90
08/04/2015,AGUARDENTE,150
08/04/2015,AMEIXA SECA, 80
08/04/2015,ANGU, 50
09/04/2015,BANANA A MILANESA, 300
09/04/2015,BIFE ROLE, 250
09/04/2015,BIS, 100
10/04/2015,BISCOITO POLVILHO,80
10/04/2015,BLISS, 150
10/04/2015,BOMBA, 150
11/04/2015,CARNE SECA,200
11/04/2015,CARRE,120
11/04/2015,CHICORIA, 300
12/04/2015,COUVE,350
12/04/2015,CROASSAINT,150
12/04/2015,FIGO, 80
